Sample Index,runlog1.txt,runlog2.txt,runlog3.txt
12,50.00%,56.73%,44.23%
15,48.86%,43.18%,41.98%
16,48.08%,39.42%,43.27%
20,51.79%,54.81%,42.31%
30,49.38%,41.78%,42.85%
40,50.96%,41.35%,54.81%
47,48.05%,40.62%,41.96%
53,51.88%,45.50%,39.73%
88,48.86%,41.35%,48.33%
108,48.94%,43.08%,42.05%
112,50.00%,40.83%,40.00%
117,48.96%,43.18%,44.15%
140,49.04%,49.04%,49.04%
146,50.62%,43.63%,41.40%
156,49.04%,47.12%,42.31%
160,49.04%,49.04%,43.27%
164,49.04%,58.65%,38.46%
165,51.88%,43.86%,43.10%
191,48.44%,41.67%,42.86%
202,50.00%,39.15%,50.62%
232,51.67%,42.50%,51.67%
239,49.62%,46.09%,41.87%
260,50.00%,56.73%,41.35%
276,51.79%,56.73%,56.73%
299,49.22%,38.61%,41.76%
300,50.00%,50.96%,59.62%
307,48.86%,42.73%,41.96%
308,48.08%,45.19%,42.31%
311,49.62%,43.95%,42.69%
312,49.04%,48.08%,41.35%
332,48.33%,45.00%,42.50%
343,49.62%,50.19%,42.53%
344,51.14%,39.42%,41.35%
352,48.33%,43.75%,45.83%
356,48.33%,43.33%,55.83%
364,48.33%,44.49%,48.71%
376,48.33%,41.35%,45.19%
379,48.86%,43.36%,44.70%
428,49.04%,36.54%,36.46%
435,48.86%,48.86%,36.86%
452,50.00%,52.50%,41.96%
464,50.89%,54.81%,59.09%
476,49.17%,38.54%,38.46%
504,51.67%,54.81%,54.17%
515,49.62%,42.45%,42.15%
530,49.38%,44.07%,42.68%
539,48.11%,42.25%,43.33%
563,50.10%,41.75%,39.42%
576,51.79%,42.72%,35.00%
588,50.00%,43.75%,35.71%
599,48.05%,41.20%,39.84%
632,51.67%,54.81%,40.38%
643,48.44%,46.09%,48.11%
648,48.21%,36.54%,44.79%
671,48.86%,43.71%,38.78%
676,50.00%,58.65%,38.46%
694,49.38%,42.73%,42.08%
703,48.86%,44.14%,41.00%
705,49.31%,42.06%,41.73%
747,48.86%,44.13%,42.19%
776,48.21%,58.65%,37.50%
782,50.00%,44.49%,45.75%
783,48.11%,41.20%,46.88%
787,48.86%,41.88%,45.45%
789,51.88%,42.68%,51.88%
790,48.08%,44.38%,41.71%
823,48.44%,42.12%,41.76%
910,50.62%,42.57%,41.86%
920,49.04%,45.19%,49.04%
923,48.86%,42.27%,43.36%
932,49.04%,52.88%,58.65%
933,49.04%,43.52%,42.81%
968,48.44%,47.50%,41.49%
983,49.62%,41.67%,39.06%
987,48.86%,42.53%,47.27%
990,49.38%,46.75%,43.19%
