command,bits,uniformity
setTargetFile main.txt,0000011000001100000000000110011011001100000001100011111101111110001111000001111011110000111110001111100001111110110000000111100011000000,0.4558823529411764
TCsetTempWait 20,000111101111111111100000011110001111111101111110111111110001111011111111000110000011110001100000110011000110000000111100,0.5916666666666667
writeLine Current Chamber Temperature: 20,111110000111100000110000111100000001100011111000011111101100000001100000000011001111100011111000100111101001111010000000011110001111000001111000001100111111000001100110111000000000000001100000110000001111100001111000111111111111100010011110000111100011000000110011111000001110011010000110000110000011110000000110001111000001111000111111100000001001111010011000000110000000000010011000100000000001100000000000011001101100110000000110001111110111111000111100000111101111000011111000111110000111111011000000011110001100000000011110111111111110000001111000111111110111111011111111000111101111111100011000001111000110000011001100011000000011110011111000011110000011000011110000000110001111100001111110110000001001100000011000000000001001100010000110100001100111111000110011011110001100001110011110011000000011111100000000000110000011111111100110100111100110000000111111000000000001100000001111111001101001111001100110001111111111100010011110011000000011110011100110100000001001100010000000100000000110011011001100000001101100111101100110110011001000011010011110100000000000011000000000000001101111000001100110111111001000011010011110000001100011111110011000000110001111111100000110110000110000110010000000000110000011001111110011,0.4550653594771242
setChoice 3 2,0001111011111111000001100000110000000000100001111111111011111000000111101111000000000110000011000000011011111100,0.4642857142857143
setTune 0x1 0x1,11111110011111100000000001111110110000000110000011000000011110001100000001100000001100001111100011100110,0.4326923076923077
setPattern -t 0x0 0x0,10000000111111100111111011111100011110001111111111111111100001101000011001100000111100000110000011000000111001101000000010011000100000001110011010000110000110000011110000000110001111000001111000111111100000001001111010011000000110000000000010011000100000001001100010000000111111100111111000000000011111101100000001100000110000000111100011000000011000000011000010011000000110000000000010011000100001101000011001111110001100110111100011000011100111100110000000111111000000000001100000111111111001101001111001100000001111110000000000011000000011111110011010011110011001100011111111111000100111100110000000111100111001101000000010011000100000001000000001100110110011000000011011001111011001101100110010000110100111101000000000000110000000000000011011110000011001101111110010000110100111100000011000111111100110000001100011111111000001101100001100001100100000000001100000110000001111110001111000110000001100111110000011100110100001100001100000111100000001100011110000011110001111111000000010011110100110000001100000000000000110000000110010011000000110000000001101100110000011111001100011100000000110001100000010011000000110001100001100111111000001100110000011001100111000001110011010011110111001101001111011100110100111100000011000111100111110001001111001100000001111000000000000011000001111111110011010011110011000000011111100000000000110000000111111100110100111100110011000111111111110001001111001100000001111001110011010000000100110001000000010000000011001101100110000000110110011110110011011001100100001101001111010000000000001100000000000000110111100000110011011111100100001101001111000000110001111111001100000011000111111110000011011000011000011001000000011111000,0.4248798076923077
setPattern -b 0x0 0x0,10011000111110001111111001111110111111000111100000110000111100001000011010000110111001101000000010011000100000001110011010000110000110000011110000000110001111000001111000111111100000001001111010011000000110000000000010011000111110000110011011111100100001101001111001100000001111110000011000111100100000000000011011000000110011001000011010000110111110001000011011111000111001101001111000011000001111110000000000011000001111110110011011000011011001101100000010000110111110000000011011000000110011001110011010000110100111100110011000111100100000000000011011110000011001101100001111100110111000000000011011110011011001101100001100000110110000110000011011000000000011001110011011100110100111101001111010011110011001100011110011111000100111100000000000011000000000000110011011001100110011000001100000110011100000001001100010000000100000000110011011001100000001101100111101100110110011001000011010011110100000000000011000000000000001101111000001100110111111001000011010011110000001100011111110011000000110001111111100000110110000110000110010000000000110000000110000111111000111100011000000110011111000001110011010000110000110000011110000000110001111000001111000111111100000001001111010011000000110000000000000011000000011001001100000011000000000110110011000001111000110001100000000011000110011001001100000011000110000110011111100000110011000001100110011100000111001101001111011100110100111101110011010011110000001100011110011111000100111100110000000111100000000000001100000111111111001101001111001100000001111110000000000011000000011111110011010011110011001100011111111111000100111100110000000111100111001101000000010011000100000001000000001100110110011000000011011001111011001101100110010000110100111101000000000000110000000000000011011110000011001101111110010000110100111100000011000111111100110000001100011111111000001101100001100001100100000000001100000110011001111110001111000110000001100111110000011100110100001100001100000111100000001100011110000011110001111111000000010011110100110000001100000000000000110000000110010011000000110000000001101100110000011111001100011100000000110001100001110011000000110001100001100111111000001100110000011001100111000001110011010011110111001101001111011100110100111100000011000111100111110001001111001100000001111000000000000011000001111111110011010011110011000000011111100000000000110000000111111100110100111100110011000111111111110001001111001100000001111001110011010000000100110001000000010000000011001101100110000000110110011110110011011001100100001101001111010000000000001100000000000000110111100000110011011111100100001101001111000000110001111111001100000011000111111110000011011000011000011001000000011111000,0.4286253776435045
getReadout -tune -temp -ch 1000,1001100011111000111111101001111011111000100111100001111000110000001100111110000011100110100001100001100000111100000001100011110000011110001111111000000010011110100110000001100000000000000110000000110010011000000110000000001101100110000011111001100011100000000110001100001110011000100111101110000001100110000011001001100000011110110000110001111011110011000110001100001100111111000001100110000011001100111000001110011010011110111001101001111011100110100111100000011000111100111110001001111001100000001111000000000000011000001111111110011010011110011000000011111100000000000110000000111111100110100111100110011000111111111110001001111001100000001111001110011010000000100110001000000010000000011001101100110000000110110011110110011011001100100001101001111010000000000001100000000000000110111100000110011011111100100001101001111000000110001111111001100000011000111111110000011011000011000011001000000000011000001100110011111110011110111110000001111000110000001100000001111011001100100111101110011010000110100001101110011001111110110000000110000011110000011000001100000010000000100000001000000010000000100000001000000010000000100000001001111001100000110011110110011011001111110011000001111000011000111100000011001101100110011001100011000011001111,0.4338709677419355
setTune 0x1 0x2,11111110011111100000000001111110110000000110000011000000011110001100000001100000001100001111100010011000,0.4134615384615384
setPattern -t 0x0 0x0,10000000111111100111111011111100011110001111111111111111000111100000011000000011011000001100000001100000111100000110000011000000111001101000000010011000100000001110011010000110000110000011110000000110001111000001111000111111100000001001111010011000000110000000000000011000000011001001100000011000111100110011110000000110100111101000011010000110000001101100001111100110011111100000000011100000011001100000110000011000110000001001100000011110000000110110011000001100000110001100000000011000110011000001100011111100001100111000011000011000110000000001100011001111000110000000110000110011011111100110011011110000011001100000111110011000000111100000001100111100111001100111111011111100011110001111000001100110000011111001100011100110100110000001111011110011111111000000011011100000011000001100000001100000111100000110000011000000011111100000110010011000000110000000000010011000111000001110011010011110111001101001111011100110100111100000011000111100111110001001111001100000001111000000000000011000001111111110011010011110011000000011111100000000000110000000111111100110100111100110011000111111111110001001111001100000001111001110011010000000100110001000000010000000011001101100110000000110110011110110011011001100100001101001111010000000000001100000000000000110111100000110011011111100100001101001111000000110001111111001100000011000111111110000011011000011000011001000000011111000,0.4309593023255814
setPattern -b 0x0 0x0,10011000111110000000011000001100000000000110000011000000100001101000011010000000100110000001111011001100100111100000011000001100111001100001111011001100100111101000011010000110000001101111110001100110110011000000011011001111011001101100110010000110100111101000000000000110000000000000011011110000011001101111110010000110100111100000011000111111100110000001100011111111000001101100001100001100100000000001100000110011001111111000000000011000000000000110000011000000100001101000011010000000100110000001111000110000001100111110000011100110100001100001100000111100000001100011110000011110001111111000000010011110100110000001100000000000100110001111100001100110111111001000011010011110011000000011111100000110001111001000000000000110110000001100110010000110100001101111100010000110111110001110011010011110000110000011111100000000000110000011111101100110110000110110011011000000100001101111100000000110110000001100110011100110100001101001111001100110001111001000000000000110111100000110011011000011111001101110000000000110111100110110011011000011000001101100001100000110110000000000110011100110111001101001111010011110100111100110011000111100111110001001111000000000000110000000000001100110110011001100110000011000001100111000000010011000100000001000000001100110110011000000011011001111011001101100110010000110100111101000000000000110000000000000011011110000011001101111110010000110100111100000011000111111100110000001100011111111000001101100001100001100100000000001100000110011001111110110011011111110,0.4171122994652406
getReadout -tune -temp -ch 1000,011000000011110011111110100111100000011011000000000110000011000001100000110000001110011011100110000111101111000010011000000111100000110000111100011001100111100000110000111100000111111010000000111001101000000010011000100000001110011010000110000110000011110000000110001111000001111000111111100000001001111010011000000110000000000000011000000011001001100000011000000000110110011000001111100110001110000000011000110000110001100011111100001100110111100011001100111100000001100001111000000011001100001111100110100111101110000001100110000011000001100011000000100110001110000000011000000000110011001111111000011001100000110000011000110000000001100011001100000110001111110000110011011110001100110000011110001100110001111000000011011001100000110010011000000111100011001100011110000000110011111100000110011001100000110010011000000111101111001100011110000000110110011000001100000110001100000000011000110011000001100011111100001100111000011010011000111000000001100011000011000110001111110000110011100001100001100011000000000110001100110010011000000110001100001100111111000001100110000011001100111000001110011010011110111001101001111011100110100111100000011000111100111110001001111001100000001111000000000000011000001111111110011010011110011000000011111100000000000110000000111111100110100111100110011000111111111110001001111001100000001111001110011010000000100110001000000010000000011001101100110000000110110011110110011011001100100001101001111010000000000001100000000000000110111100000110011011111100100001101001111000000110001111111001100000011000111111110000011011000011000011001000000011111000,0.4210858585858585
setTune 0x1 0x3,00000110000011001111111011100110000111100011000000110011111111100110011011000000110011000111100011100110,0.5
setPattern -t 0x0 0x0,0001111011111111111111100111111011111100011110001111111111111111000111100000011000000011011000001100000001100000111100000110000011000000111001101000000010011000100000001110011010000110000110000011110000000110001111000001111000111111100000001001111010011000000110000000000010011000100000001001100011100110000111100011000000110011111001100001100000000000100110001000011010000110011111100011001101111000110000111001111001100000001111110000000000011000001111111110011010011110011000000011111100000000000110000000111111100110100111100110011000111111111110001001111001100000001111001110011010000000100110001000000010000000011001101100110000000110110011110110011011001100100001101001111010000000000001100000000000000110111100000110011011111100100001101001111000000110001111111001100000011000111111110000011011000011000011001000000011111000,0.4399038461538461
setPattern -b 0x0 0x0,1001100011111000111111100111111011111100011110000011000011110000100001101000011001100000111100001110011010000000100110001000000011100110100001100001100000111100000001100011110000011110001111111000000010011110100110000001100000000000100110001111100001100110111111001000011010011110011000000011111100000110001111001000000000000110110000001100110010000110100001101111100010000110111110001110011010011110000110000011111100000000000110000011111101100110110000110110011011000000100001101111100000000110110000001100110011100110100001101001111001100110001111001000000000000110111100000110011011000011111001101110000000000110111100110110011011000011000001101100001100000110110000000000110011100110111001101001111010011110100111100110011000111100111110001001111000000000000110000000000001100110110011001100110000011000001100111000000010011000100000001000000001100110110011000000011011001111011001101100110010000110100111101000000000000110000000000000011011110000011001101111110010000110100111100000011000111111100110000001100011111111000001101100001100001100100000000001100000110011001111110001111000110000001100111110000011100110100001100001100000111100000001100011110000011110001111111000000010011110100110000001100000000000000110000000110010011000000110000000001101100110000011111001100011100000000110001100001110011000000110001100001100111111000001100110000011001100111000001110011010011110111001101001111011100110100111100000011000111100111110001001111001100000001111000000000000011000001111111110011010011110011000000011111100000000000110000000111111100110100111100110011000111111111110001001111001100000001111001110011010000000100110001000000010000000011001101100110000000110110011110110011011001100100001101001111010000000000001100000000000000110111100000110011011111100100001101001111000000110001111111001100000011000111111110000011011000011000011001000000011111000,0.4302575107296137
getReadout -tune -temp -ch 1000,100110001111100011111110100111101111100000011110110011110011111100011000011110001100000011000000100111100110000011001111011001101100111111001100011111101110000001100000001100001111111010011110000000000111100100011110000000111100111100000110100000000110000000111100,0.4886363636363636
setTune 0x1 0x4,00000110000011001111111011100110000111100011000000110011111111100110011011000000110011000111100011100000,0.4807692307692308
setPattern -t 0x0 0x0,0001111011111111000001100000110000000000011000001100000010000110000001101111110011001100000111100001100000110011111100001110011010000110000110000011110000000110001111000001111000111111100000001001111010011000000110000000000010011000100000001001100011100110000111100011000000110011111001100001100000000000100110001000011010000110011111100011001101111000110000111001111001100000001111110000000000011000001111111110011010011110011000000011111100000000000110000000111111100110100111100110011000111111111110001001111001100000001111001110011010000000100110001000000010000000011001101100110000000110110011110110011011001100100001101001111010000000000001100000000000000110111100000110011011111100100001101001111000000110001111111001100000011000111111110000011011000011000011001000000010011000000111100011000000110011111000001000000001100110110011000000011011001111011001101100110010000110100111101000000000000110000000000000011011110000011001101111110010000110100111100000011000111111100110000001100011111111000001101100001100001100100000000001100000110011001111110001100011111110,0.4235074626865671
